params_x,params_y,user_attrs_top-1
122.5,153.5,-1.0
124.5,156.0,-1.0
124.5,156.0,-1.0
121.0,155.5,-1.0
121.0,155.5,0.75
121.0,155.5,0.7578125
123.5,154.0,0.7578125
123.5,154.0,0.1171875
123.5,154.0,0.7578125
123.5,154.0,0.7578125
123.5,154.0,0.7578125
123.0,152.0,-1.0
123.0,152.0,0.7578125
122.5,153.5,-1.0
122.5,153.5,-1.0
125.0,154.0,-1.0
125.0,154.0,-1.0
124.0,153.5,-1.0
124.0,153.5,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
123.0,153.5,-1.0
123.0,153.5,-1.0
123.5,154.5,-1.0
123.5,154.5,0.7578125
124.5,154.0,-1.0
124.5,154.0,-1.0
123.0,155.5,-1.0
123.0,155.5,-1.0
121.5,153.5,-1.0
121.5,153.5,-1.0
127.0,154.5,0.7578125
127.0,154.5,0.7578125
124.5,155.0,-1.0
124.5,155.0,-1.0
121.0,154.5,-1.0
121.0,154.5,-1.0
123.0,154.5,-1.0
123.0,154.5,-1.0
124.0,153.0,0.7578125
124.0,153.0,0.7578125
122.5,154.5,0.7578125
122.5,154.5,-1.0
124.5,156.5,0.7578125
124.5,156.5,0.7578125
121.5,156.0,-1.0
121.5,156.0,-1.0
125.0,155.5,-1.0
125.0,155.5,-1.0
125.5,153.0,-1.0
125.5,153.0,-1.0
120.5,153.0,-1.0
120.5,153.0,-1.0
120.5,155.0,0.7578125
120.5,155.0,0.1171875
120.5,155.0,0.7578125
120.5,155.0,-1.0
120.5,155.0,0.7578125
121.0,155.0,0.7578125
121.0,155.0,0.7578125
120.0,155.0,-1.0
120.0,155.0,-1.0
121.0,156.0,-1.0
121.0,156.0,-1.0
120.5,153.5,0.75
120.5,153.5,-1.0
120.5,153.5,-1.0
120.0,154.0,0.7578125
120.0,154.0,0.7578125
122.0,153.5,0.7578125
122.0,153.5,-1.0
121.5,155.5,-1.0
121.5,155.5,0.7578125
120.5,155.5,-1.0
120.5,155.5,-1.0
122.5,154.5,0.7578125
122.5,154.5,0.7578125
119.5,155.5,-1.0
119.5,155.5,-1.0
119.5,154.0,-1.0
119.5,154.0,0.7578125
122.5,155.5,-1.0
122.5,155.5,-1.0
122.5,152.0,0.7578125
122.5,152.0,-1.0
122.5,156.5,-1.0
122.5,156.5,-1.0
122.0,154.5,0.7578125
122.0,154.5,0.7578125
123.0,154.0,-1.0
123.0,154.0,-1.0
121.0,154.5,0.7421875
121.0,154.5,0.7578125
121.0,154.5,0.7578125
120.5,154.5,0.7578125
120.5,154.5,0.7578125
119.5,152.5,-1.0
119.5,152.5,-1.0
120.5,154.5,0.7578125
120.5,154.5,0.7578125
121.0,153.5,-1.0
121.0,153.5,0.7578125
120.0,156.0,-1.0
120.0,156.0,-1.0
119.5,155.0,-1.0
119.5,155.0,-1.0
122.5,156.5,-1.0
122.5,156.5,-1.0
122.0,154.5,0.7578125
122.0,154.5,0.7578125
122.0,153.0,-1.0
122.0,153.0,-1.0
123.5,154.5,0.7578125
123.5,154.5,-1.0
121.0,154.5,-1.0
121.0,154.5,-1.0
120.0,156.0,-1.0
120.0,156.0,-1.0
119.0,153.5,-1.0
119.0,153.5,-1.0
121.5,154.5,0.7578125
121.5,154.5,0.7578125
123.0,155.0,-1.0
123.0,155.0,-1.0
124.0,154.0,0.7578125
124.0,154.0,0.7578125
121.5,153.0,-1.0
121.5,153.0,-1.0
121.5,156.5,-1.0
121.5,156.5,-1.0
123.0,156.0,-1.0
123.0,156.0,-1.0
119.5,154.5,-1.0
119.5,154.5,-1.0
121.5,155.0,0.7578125
121.5,155.0,0.7578125
124.5,153.0,-1.0
124.5,153.0,-1.0
123.5,154.5,0.7421875
123.5,154.5,0.7578125
123.5,154.5,0.7578125
124.0,154.5,0.7578125
124.0,154.5,0.7578125
123.5,153.5,0.7578125
123.5,153.5,0.7578125
124.0,155.0,0.7578125
124.0,155.0,0.7578125
123.0,155.0,-1.0
123.0,155.0,0.7578125
123.0,152.5,-1.0
123.0,152.5,-1.0
121.5,154.0,0.7578125
121.5,154.0,0.7578125
123.0,155.0,-1.0
123.0,155.0,0.1015625
123.0,155.0,-1.0
123.0,155.0,0.75
123.0,155.0,0.7578125
123.0,155.0,-1.0
123.5,156.5,-1.0
123.5,156.5,-1.0
122.5,155.5,-1.0
122.5,155.5,-1.0
124.0,154.5,0.75
124.0,154.5,0.7578125
124.0,154.5,0.7578125
123.5,156.5,-1.0
123.5,156.5,-1.0
123.0,154.5,-1.0
123.0,154.5,0.7578125
123.0,153.5,-1.0
123.0,153.5,-1.0
122.0,155.5,-1.0
122.0,155.5,0.75
122.0,155.5,-1.0
124.5,155.0,-1.0
124.5,155.0,-1.0
123.0,155.0,-1.0
123.0,155.0,-1.0
125.0,154.0,-1.0
125.0,154.0,-1.0
122.0,153.5,-1.0
122.0,153.5,-1.0
124.5,152.5,-1.0
124.5,152.5,-1.0
121.5,156.0,-1.0
121.5,156.0,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
122.5,154.0,0.75
122.5,154.0,-1.0
122.5,154.0,0.7578125
124.5,155.0,-1.0
124.5,155.0,-1.0
123.5,156.5,-1.0
123.5,156.5,-1.0
123.5,153.0,-1.0
123.5,153.0,-1.0
121.5,154.5,0.7578125
121.5,154.5,0.7578125
121.5,156.0,-1.0
121.5,156.0,-1.0
122.0,154.5,0.7578125
122.0,154.5,0.7578125
124.0,155.5,-1.0
124.0,155.5,-1.0
124.5,154.5,-1.0
124.5,154.5,-1.0
122.5,153.5,-1.0
122.5,153.5,-1.0
121.5,152.5,0.7578125
121.5,152.5,-1.0
122.5,155.0,-1.0
122.5,155.0,-1.0
125.5,153.5,-1.0
125.5,153.5,-1.0
121.5,156.5,-1.0
121.5,156.5,-1.0
123.5,153.5,0.7578125
123.5,153.5,-1.0
123.5,157.0,-1.0
123.5,157.0,-1.0
120.5,155.5,-1.0
120.5,155.5,-1.0
123.0,155.0,-1.0
123.0,155.0,-1.0
121.5,153.5,0.75
121.5,153.5,0.7578125
121.5,153.5,0.7578125
123.5,155.5,-1.0
123.5,155.5,-1.0
125.0,155.5,-1.0
125.0,155.5,0.7578125
121.5,155.0,-1.0
121.5,155.0,0.7578125
124.0,153.5,0.7578125
124.0,153.5,-1.0
124.5,156.0,0.7578125
124.5,156.0,-1.0
122.0,154.5,0.7578125
122.0,154.5,0.7578125
124.0,154.0,-1.0
124.0,154.0,-1.0
121.0,154.5,0.7578125
121.0,154.5,0.7578125
122.5,156.5,-1.0
122.5,156.5,-1.0
121.0,153.0,-1.0
121.0,153.0,-1.0
123.5,154.5,-1.0
123.5,154.5,-1.0
120.0,155.5,-1.0
120.0,155.5,-1.0
125.0,156.0,-1.0
125.0,156.0,-1.0
123.5,152.5,-1.0
123.5,152.5,0.7421875
123.5,152.5,0.7578125
122.5,155.5,-1.0
122.5,155.5,-1.0
122.0,153.5,-1.0
122.0,153.5,-1.0
125.5,154.0,-1.0
125.5,154.0,-1.0
120.5,156.0,-1.0
120.5,156.0,-1.0
120.5,154.0,0.7578125
120.5,154.0,0.7578125
123.0,155.0,-1.0
123.0,155.0,0.1015625
123.0,155.0,-1.0
123.0,155.0,0.1015625
123.0,155.0,0.1171875
123.0,155.0,0.7578125
123.0,155.0,0.125
123.0,155.0,-1.0
123.0,155.0,-1.0
123.0,155.0,0.75
123.0,155.0,-1.0
123.0,155.0,-1.0
123.0,155.0,0.7578125
123.0,155.0,-1.0
123.0,155.0,0.7421875
123.0,155.0,-1.0
123.5,156.5,-1.0
123.5,156.5,-1.0
124.5,154.5,-1.0
124.5,154.5,-1.0
123.5,156.0,-1.0
123.5,156.0,-1.0
123.5,154.5,0.7578125
123.5,154.5,-1.0
125.0,155.5,-1.0
125.0,155.5,-1.0
123.0,157.0,-1.0
123.0,157.0,-1.0
123.5,155.0,0.09375
123.5,155.0,0.7578125
123.5,155.0,-1.0
123.5,155.0,-1.0
123.5,155.0,0.1015625
123.5,155.0,0.7578125
123.5,155.0,-1.0
123.5,155.0,-1.0
125.0,155.0,-1.0
125.0,155.0,-1.0
124.0,155.0,0.7578125
124.0,155.0,0.7578125
123.5,155.5,-1.0
123.5,155.5,-1.0
125.5,154.0,-1.0
125.5,154.0,-1.0
124.0,156.5,-1.0
124.0,156.5,-1.0
123.0,155.0,-1.0
123.0,155.0,-1.0
124.0,154.0,0.7578125
124.0,154.0,0.7578125
124.5,156.5,0.7578125
124.5,156.5,0.7578125
122.5,156.0,-1.0
122.5,156.0,-1.0
125.5,155.0,-1.0
125.5,155.0,-1.0
123.5,154.5,-1.0
123.5,154.5,-1.0
123.0,155.5,-1.0
123.0,155.5,-1.0
123.0,154.5,-1.0
123.0,154.5,-1.0
122.0,156.5,-1.0
122.0,156.5,-1.0
124.0,152.5,0.7578125
124.0,152.5,0.7578125
125.0,156.0,0.7578125
125.0,156.0,-1.0
124.5,154.0,-1.0
124.5,154.0,-1.0
117.0,148.0,0.7578125
117.0,148.0,0.7578125
125.5,160.0,0.7578125
125.5,160.0,0.7578125
121.5,152.0,-1.0
121.5,152.0,-1.0
115.5,155.5,0.7578125
115.5,155.5,0.7578125
114.5,153.5,0.7578125
114.5,153.5,0.7578125
122.5,154.0,-1.0
122.5,154.0,0.7578125
124.0,150.0,0.7578125
124.0,150.0,0.7578125
118.5,158.5,0.7578125
118.5,158.5,0.7578125
119.5,151.0,0.7578125
119.5,151.0,0.7578125
125.0,156.5,-1.0
125.0,156.5,0.7578125
122.5,149.0,0.7578125
122.5,149.0,0.7578125
113.0,159.0,0.7578125
113.0,159.0,0.7578125
115.0,150.5,0.7578125
115.0,150.5,0.7578125
120.5,157.5,-1.0
120.5,157.5,-1.0
127.0,152.5,0.7578125
127.0,152.5,-1.0
117.5,155.0,0.7578125
117.5,155.0,-1.0
118.0,153.0,-1.0
118.0,153.0,-1.0
127.0,155.5,0.7578125
127.0,155.5,0.7578125
121.0,150.5,0.7578125
121.0,150.5,0.7578125
114.5,157.0,0.7578125
114.5,157.0,0.7578125
113.5,148.5,0.7578125
113.5,148.5,-1.0
122.0,159.0,0.7578125
122.0,159.0,0.7578125
125.0,151.5,0.7578125
125.0,151.5,-1.0
119.5,157.0,-1.0
119.5,157.0,-1.0
119.0,149.5,0.7578125
119.0,149.5,0.7578125
123.5,158.5,0.7578125
123.5,158.5,0.7578125
123.5,154.0,0.7578125
123.5,154.0,-1.0
114.0,154.5,0.7578125
114.0,154.5,0.7578125
116.5,152.5,0.7578125
116.5,152.5,0.7578125
121.0,156.0,-1.0
121.0,156.0,-1.0
126.0,148.0,0.7578125
126.0,148.0,0.7578125
116.5,159.5,0.7578125
116.5,159.5,-1.0
116.5,151.5,-1.0
116.5,151.5,0.75
116.5,151.5,0.7578125
126.5,156.0,0.7578125
126.5,156.0,0.7578125
121.0,148.5,-1.0
121.0,148.5,0.7578125
116.0,160.0,0.7578125
116.0,160.0,0.7578125
113.5,150.0,0.7578125
113.5,150.0,0.7578125
123.5,158.5,0.7578125
123.5,158.5,0.7578125
124.0,153.5,0.7578125
124.0,153.5,-1.0
119.0,154.0,-1.0
119.0,154.0,-1.0
119.5,149.0,0.7578125
119.5,149.0,0.7578125
125.0,159.5,0.7578125
125.0,159.5,0.7578125
122.0,151.0,0.7578125
122.0,151.0,0.7578125
113.5,156.5,0.7578125
113.5,156.5,0.7578125
115.0,152.5,0.7578125
115.0,152.5,-1.0
120.5,155.0,0.7421875
120.5,155.0,0.7578125
120.5,155.0,0.7578125
126.5,150.5,0.7578125
126.5,150.5,0.7578125
118.0,158.0,0.7578125
118.0,158.0,0.7578125
117.5,150.0,0.7578125
117.5,150.0,0.7578125
127.0,157.5,-1.0
127.0,157.5,0.7578125
120.0,153.0,-1.0
120.0,153.0,-1.0
115.5,155.0,0.7578125
115.5,155.0,0.7578125
113.0,151.5,0.7578125
113.0,151.5,0.7578125
122.5,157.0,-1.0
122.5,157.0,-1.0
125.0,148.5,0.7578125
125.0,148.5,0.7578125
120.0,159.0,0.7578125
120.0,159.0,0.7578125
118.0,153.5,0.75
118.0,153.5,0.7578125
118.0,153.5,-1.0
124.5,154.5,-1.0
124.5,154.5,-1.0
123.0,149.5,0.7578125
123.0,149.5,0.7578125
114.0,158.0,0.7578125
114.0,158.0,0.7578125
115.5,148.0,0.7578125
115.5,148.0,0.7578125
122.0,159.5,0.7578125
122.0,159.5,0.7578125
125.5,152.0,-1.0
125.5,152.0,-1.0
117.0,156.0,-1.0
117.0,156.0,0.7578125
117.0,153.5,0.7578125
117.0,153.5,0.7578125
126.0,154.5,0.75
126.0,154.5,0.7578125
126.0,154.5,0.7578125
121.5,150.0,0.7578125
121.5,150.0,0.7578125
115.5,158.5,0.7578125
115.5,158.5,0.7578125
114.0,148.5,-1.0
114.0,148.5,0.7578125
123.0,160.0,0.7578125
123.0,160.0,0.7578125
124.5,152.0,-1.0
124.5,152.0,-1.0
118.5,156.0,-1.0
118.5,156.0,-1.0
120.0,150.5,0.7578125
120.0,150.5,0.7578125
124.5,158.0,0.7578125
124.5,158.0,0.7578125
122.5,155.5,-1.0
122.5,155.5,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
123.5,155.0,0.1015625
123.5,155.0,-1.0
123.5,155.0,-1.0
123.5,155.0,-1.0
123.5,155.0,0.09375
123.5,155.0,-1.0
123.5,155.0,0.09375
123.5,155.0,0.7578125
123.5,155.0,0.7578125
123.5,155.0,0.1171875
123.5,155.0,-1.0
123.5,155.0,0.75
123.5,155.0,-1.0
123.5,155.0,-1.0
123.5,155.0,0.1015625
123.5,155.0,0.7578125
123.5,155.0,-1.0
123.5,155.0,0.7578125
124.0,156.0,0.7578125
124.0,156.0,0.7578125
124.0,155.0,-1.0
124.0,155.0,0.7578125
125.0,155.0,-1.0
125.0,155.0,-1.0
124.5,156.0,0.7578125
124.5,156.0,-1.0
123.0,155.5,-1.0
123.0,155.5,-1.0
124.0,156.5,-1.0
124.0,156.5,-1.0
125.5,154.0,-1.0
125.5,154.0,-1.0
123.5,154.0,0.7578125
123.5,154.0,-1.0
123.0,155.5,-1.0
123.0,155.5,-1.0
125.5,155.5,-1.0
125.5,155.5,0.7578125
123.0,154.5,0.7578125
123.0,154.5,-1.0
124.0,155.0,0.7578125
124.0,155.0,0.7578125
122.5,156.5,-1.0
122.5,156.5,-1.0
124.0,157.0,-1.0
124.0,157.0,-1.0
124.0,153.5,0.7578125
124.0,153.5,0.7578125
122.5,155.0,-1.0
122.5,155.0,0.7578125
125.0,155.5,-1.0
125.0,155.5,-1.0
124.5,153.5,-1.0
124.5,153.5,-1.0
123.0,153.5,-1.0
123.0,153.5,-1.0
122.0,156.0,-1.0
122.0,156.0,-1.0
124.0,155.5,-1.0
124.0,155.5,-1.0
122.0,155.0,0.1015625
122.0,155.0,-1.0
122.0,155.0,0.75
122.0,155.0,-1.0
122.0,155.0,-1.0
122.0,155.0,-1.0
122.5,153.5,-1.0
122.5,153.5,-1.0
122.0,155.0,0.109375
122.0,155.0,-1.0
122.0,155.0,0.7421875
122.0,155.0,-1.0
122.0,155.0,-1.0
122.0,155.0,-1.0
121.5,156.0,-1.0
121.5,156.0,-1.0
122.0,155.0,-1.0
122.0,155.0,-1.0
122.5,156.0,-1.0
122.5,156.0,-1.0
121.0,155.5,0.75
121.0,155.5,0.7578125
121.0,155.5,0.7578125
121.5,155.5,0.1171875
121.5,155.5,0.7578125
121.5,155.5,0.7578125
121.5,155.5,0.7578125
121.5,155.5,0.7578125
122.0,156.0,-1.0
122.0,156.0,-1.0
120.5,155.5,-1.0
120.5,155.5,-1.0
121.0,156.5,-1.0
121.0,156.5,-1.0
120.0,156.5,-1.0
120.0,156.5,-1.0
121.5,157.0,-1.0
121.5,157.0,-1.0
121.5,155.0,0.7578125
121.5,155.0,0.7578125
121.0,155.5,0.7578125
121.0,155.5,0.7578125
122.5,155.0,-1.0
122.5,155.0,-1.0
123.5,154.5,-1.0
123.5,154.5,-1.0
122.0,154.5,0.7578125
122.0,154.5,0.7578125
122.5,155.0,0.7578125
122.5,155.0,-1.0
122.5,157.0,-1.0
122.5,157.0,-1.0
121.5,155.0,0.7578125
121.5,155.0,0.7578125
120.0,155.5,-1.0
120.0,155.5,-1.0
123.5,154.5,-1.0
123.5,154.5,-1.0
122.5,155.0,-1.0
122.5,155.0,-1.0
120.5,156.5,-1.0
120.5,156.5,-1.0
122.5,156.0,-1.0
122.5,156.0,-1.0
125.0,154.0,-1.0
125.0,154.0,-1.0
123.5,155.0,0.109375
123.5,155.0,0.7578125
123.5,155.0,0.75
123.5,155.0,0.7578125
123.5,155.0,0.75
123.5,155.0,0.140625
123.5,155.0,0.7578125
123.5,155.0,-1.0
123.5,155.0,-1.0
123.5,155.0,-1.0
124.5,154.0,-1.0
124.5,154.0,-1.0
123.5,156.0,-1.0
123.5,156.0,-1.0
123.5,155.0,-1.0
123.5,155.0,0.7578125
124.5,155.0,-1.0
124.5,155.0,-1.0
124.0,155.0,-1.0
124.0,155.0,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
123.5,153.5,0.7578125
123.5,153.5,0.7578125
125.5,154.5,-1.0
125.5,154.5,-1.0
123.0,155.5,-1.0
123.0,155.5,-1.0
123.5,154.0,0.7578125
123.5,154.0,0.7578125
126.0,153.5,0.7578125
126.0,153.5,-1.0
122.0,157.0,-1.0
122.0,157.0,-1.0
123.0,154.5,0.7578125
123.0,154.5,-1.0
123.5,152.5,0.7578125
123.5,152.5,-1.0
122.5,154.5,0.7578125
122.5,154.5,-1.0
123.0,156.0,-1.0
123.0,156.0,-1.0
124.5,155.5,-1.0
124.5,155.5,-1.0
123.0,157.0,-1.0
123.0,157.0,-1.0
125.0,155.0,-1.0
125.0,155.0,-1.0
122.5,155.5,-1.0
122.5,155.5,-1.0
122.5,154.0,-1.0
122.5,154.0,0.7578125
125.0,153.0,-1.0
125.0,153.0,-1.0
123.0,153.5,-1.0
123.0,153.5,-1.0
121.5,156.0,-1.0
121.5,156.0,-1.0
124.0,154.5,-1.0
124.0,154.5,0.7578125
121.5,155.0,0.7578125
121.5,155.0,-1.0
124.0,156.0,-1.0
124.0,156.0,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
123.0,153.5,-1.0
123.0,153.5,-1.0
125.5,155.0,-1.0
125.5,155.0,-1.0
122.0,155.0,0.7421875
122.0,155.0,0.1171875
122.0,155.0,-1.0
122.0,155.0,0.7421875
122.0,155.0,-1.0
122.0,155.0,-1.0
122.0,155.0,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
122.5,155.5,-1.0
122.5,155.5,-1.0
123.0,154.5,-1.0
123.0,154.5,0.7578125
123.5,157.0,-1.0
123.5,157.0,-1.0
122.0,157.0,-1.0
122.0,157.0,-1.0
124.5,154.0,-1.0
124.5,154.0,-1.0
122.5,154.0,-1.0
122.5,154.0,0.7578125
122.5,155.0,-1.0
122.5,155.0,-1.0
123.0,153.0,-1.0
123.0,153.0,-1.0
124.0,155.0,0.7578125
124.0,155.0,0.7578125
123.0,156.5,-1.0
123.0,156.5,-1.0
124.5,156.0,0.7578125
124.5,156.0,0.7578125
124.0,154.5,0.7578125
124.0,154.5,-1.0
121.5,155.5,-1.0
121.5,155.5,-1.0
124.5,153.5,-1.0
124.5,153.5,-1.0
122.5,155.0,-1.0
122.5,155.0,-1.0
125.5,156.0,0.75
125.5,156.0,0.7578125
125.5,156.0,0.7578125
122.0,153.5,-1.0
122.0,153.5,-1.0
122.0,154.5,0.7578125
122.0,154.5,-1.0
122.0,156.0,-1.0
122.0,156.0,-1.0
125.5,154.5,-1.0
125.5,154.5,-1.0
123.5,154.5,0.7578125
123.5,154.5,0.7578125
125.0,156.5,0.7578125
125.0,156.5,-1.0
123.0,156.0,-1.0
123.0,156.0,-1.0
121.5,154.5,0.7578125
121.5,154.5,0.765625
121.5,154.5,0.7578125
124.5,153.0,-1.0
124.5,153.0,-1.0
123.5,155.0,-1.0
123.5,155.0,-1.0
122.0,154.0,-1.0
122.0,154.0,0.7578125
125.0,155.5,-1.0
125.0,155.5,-1.0
122.5,157.0,-1.0
122.5,157.0,-1.0
124.0,155.0,0.7578125
124.0,155.0,-1.0
123.5,153.5,-1.0
123.5,153.5,0.7578125
127.0,153.5,-1.0
127.0,153.5,0.7578125
122.0,155.0,0.7578125
122.0,155.0,-1.0
123.0,153.0,-1.0
123.0,153.0,0.7578125
122.5,155.5,-1.0
122.5,155.5,-1.0
124.0,156.0,-1.0
124.0,156.0,0.75
124.0,156.0,-1.0
121.5,156.0,-1.0
121.5,156.0,-1.0
124.5,154.5,-1.0
124.5,154.5,-1.0
122.5,152.5,-1.0
122.5,152.5,-1.0
124.0,157.0,-1.0
124.0,157.0,-1.0
122.0,154.5,0.75
122.0,154.5,0.7578125
122.0,154.5,0.7578125
125.0,153.5,-1.0
125.0,153.5,-1.0
123.0,154.0,-1.0
123.0,154.0,-1.0
120.5,156.0,-1.0
120.5,156.0,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
124.5,155.0,-1.0
124.5,155.0,-1.0
121.5,155.5,-1.0
121.5,155.5,-1.0
121.0,154.5,-1.0
121.0,154.5,-1.0
125.5,156.0,0.7421875
125.5,156.0,-1.0
125.5,156.0,0.7578125
123.5,154.0,0.7578125
123.5,154.0,0.7578125
123.5,156.5,-1.0
123.5,156.5,-1.0
123.0,155.0,-1.0
123.0,155.0,-1.0
121.5,157.5,-1.0
121.5,157.5,-1.0
121.5,154.0,0.75
121.5,154.0,0.7578125
121.5,154.0,0.7578125
126.0,154.5,-1.0
126.0,154.5,-1.0
122.5,155.5,-1.0
122.5,155.5,-1.0
124.5,154.0,-1.0
124.5,154.0,-1.0
123.5,155.5,-1.0
123.5,155.5,-1.0
123.0,154.0,0.75
123.0,154.0,-1.0
123.0,154.0,0.7578125
122.0,153.5,0.7578125
122.0,153.5,-1.0
123.5,152.0,0.7421875
123.5,152.0,-1.0
123.5,152.0,0.7578125
121.5,156.5,-1.0
121.5,156.5,-1.0
125.0,156.5,-1.0
125.0,156.5,-1.0
125.0,155.0,-1.0
125.0,155.0,-1.0
121.5,154.5,0.7578125
121.5,154.5,0.7578125
119.5,155.5,-1.0
119.5,155.5,-1.0
123.0,156.0,-1.0
123.0,156.0,-1.0
123.0,154.0,0.75
123.0,154.0,0.7578125
123.0,154.0,-1.0
121.5,155.5,0.7578125
121.5,155.5,0.7578125
124.5,153.5,-1.0
124.5,153.5,-1.0
123.5,155.0,0.1015625
123.5,155.0,-1.0
123.5,155.0,0.75
123.5,155.0,-1.0
123.5,155.0,0.1015625
123.5,155.0,0.7578125
123.5,155.0,-1.0
123.5,155.0,-1.0
123.5,155.0,-1.0
